# Value,	Probability
14.000000	0.000000
14.101010	0.007216
14.202020	0.014431
14.303030	0.021647
14.404040	0.028863
14.505051	0.036079
14.606061	0.043294
14.707071	0.050510
14.808081	0.057726
14.909091	0.064942
15.010101	0.072157
15.111111	0.079373
15.212121	0.086589
15.313131	0.093805
15.414141	0.101020
15.515152	0.108236
15.616162	0.115452
15.717172	0.122668
15.818182	0.129883
15.919192	0.137099
16.020202	0.142872
16.121212	0.142872
16.222222	0.142872
16.323232	0.142872
16.424242	0.142872
16.525253	0.142872
16.626263	0.142872
16.727273	0.142872
16.828283	0.142872
16.929293	0.142872
17.030303	0.142872
17.131313	0.142872
17.232323	0.142872
17.333333	0.142872
17.434343	0.142872
17.535354	0.142872
17.636364	0.142872
17.737374	0.142872
17.838384	0.142872
17.939394	0.142872
18.040404	0.142872
18.141414	0.142872
18.242424	0.142872
18.343434	0.142872
18.444444	0.142872
18.545455	0.142872
18.646465	0.142872
18.747475	0.142872
18.848485	0.142872
18.949495	0.142872
19.050505	0.142872
19.151515	0.142872
19.252525	0.142872
19.353535	0.142872
19.454545	0.142872
19.555556	0.142872
19.656566	0.142872
19.757576	0.142872
19.858586	0.142872
19.959596	0.142872
20.060606	0.140707
20.161616	0.137099
20.262626	0.133491
20.363636	0.129883
20.464646	0.126276
20.565657	0.122668
20.666667	0.119060
20.767677	0.115452
20.868687	0.111844
20.969697	0.108236
21.070707	0.104628
21.171717	0.101020
21.272727	0.097413
21.373737	0.093805
21.474747	0.090197
21.575758	0.086589
21.676768	0.082981
21.777778	0.079373
21.878788	0.075765
21.979798	0.072157
22.080808	0.068550
22.181818	0.064942
22.282828	0.061334
22.383838	0.057726
22.484848	0.054118
22.585859	0.050510
22.686869	0.046902
22.787879	0.043294
22.888889	0.039687
22.989899	0.036079
23.090909	0.032471
23.191919	0.028863
23.292929	0.025255
23.393939	0.021647
23.494949	0.018039
23.595960	0.014431
23.696970	0.010824
23.797980	0.007216
23.898990	0.003608
24.000000	0.000000
