# Value,	Probability
16.000000	0.000000
16.090909	0.011364
16.181818	0.022727
16.272727	0.034091
16.363636	0.045455
16.454545	0.056818
16.545455	0.068182
16.636364	0.079545
16.727273	0.090909
16.818182	0.102273
16.909091	0.113636
17.000000	0.125000
17.090909	0.125000
17.181818	0.125000
17.272727	0.125000
17.363636	0.125000
17.454545	0.125000
17.545455	0.125000
17.636364	0.125000
17.727273	0.125000
17.818182	0.125000
17.909091	0.125000
18.000000	0.125000
18.090909	0.125000
18.181818	0.125000
18.272727	0.125000
18.363636	0.125000
18.454545	0.125000
18.545455	0.125000
18.636364	0.125000
18.727273	0.125000
18.818182	0.125000
18.909091	0.125000
19.000000	0.125000
19.090909	0.125000
19.181818	0.125000
19.272727	0.125000
19.363636	0.125000
19.454545	0.125000
19.545455	0.125000
19.636364	0.125000
19.727273	0.125000
19.818182	0.125000
19.909091	0.125000
20.000000	0.125000
20.090909	0.125000
20.181818	0.125000
20.272727	0.125000
20.363636	0.125000
20.454545	0.125000
20.545455	0.125000
20.636364	0.125000
20.727273	0.125000
20.818182	0.125000
20.909091	0.125000
21.000000	0.125000
21.090909	0.125000
21.181818	0.125000
21.272727	0.125000
21.363636	0.125000
21.454545	0.125000
21.545455	0.125000
21.636364	0.125000
21.727273	0.125000
21.818182	0.125000
21.909091	0.125000
22.000000	0.125000
22.090909	0.125000
22.181818	0.125000
22.272727	0.125000
22.363636	0.125000
22.454545	0.125000
22.545455	0.125000
22.636364	0.125000
22.727273	0.125000
22.818182	0.125000
22.909091	0.125000
23.000000	0.125000
23.090909	0.125000
23.181818	0.125000
23.272727	0.125000
23.363636	0.125000
23.454545	0.125000
23.545455	0.125000
23.636364	0.125000
23.727273	0.125000
23.818182	0.125000
23.909091	0.125000
24.000000	0.125000
24.090909	0.113636
24.181818	0.102273
24.272727	0.090909
24.363636	0.079545
24.454545	0.068182
24.545455	0.056818
24.636364	0.045455
24.727273	0.034091
24.818182	0.022727
24.909091	0.011364
25.000000	0.000000
