# Value,	Probability
0.040404	0.028105
0.202020	0.032873
0.363636	0.038200
0.525253	0.044102
0.686869	0.050584
0.848485	0.057641
1.010101	0.065255
1.171717	0.073394
1.333333	0.082010
1.494949	0.091042
1.656566	0.100411
1.818182	0.110023
1.979798	0.119771
2.141414	0.129534
2.303030	0.139180
2.464646	0.148572
2.626263	0.157565
2.787879	0.166015
2.949495	0.173780
3.111111	0.180723
3.272727	0.186721
3.434343	0.191663
3.595960	0.195454
3.757576	0.198024
3.919192	0.199321
4.080808	0.199321
4.242424	0.198024
4.404040	0.195454
4.565657	0.191663
4.727273	0.186721
4.888889	0.180723
5.050505	0.173780
5.212121	0.166015
5.373737	0.157565
5.535354	0.148572
5.696970	0.139180
5.858586	0.129534
6.020202	0.119771
6.181818	0.110023
6.343434	0.100411
6.505051	0.091042
6.666667	0.082010
6.828283	0.073394
6.989899	0.065255
7.151515	0.057641
7.313131	0.050584
7.474747	0.044102
7.636364	0.038200
7.797980	0.032873
7.959596	0.028105
8.121212	0.023871
8.282828	0.020144
8.444444	0.016888
8.606061	0.014066
8.767677	0.011639
8.929293	0.009569
9.090909	0.007815
9.252525	0.006341
9.414141	0.005112
9.575758	0.004094
9.737374	0.003258
9.898990	0.002575
10.060606	0.002023
10.222222	0.001578
10.383838	0.001223
10.545455	0.000942
10.707071	0.000721
10.868687	0.000548
11.030303	0.000414
11.191919	0.000310
11.353535	0.000231
11.515152	0.000171
11.676768	0.000126
11.838384	0.000092
12.000000	0.000067
