# Value	Probability
0.000000	0.000268
0.040404	0.000369
0.080808	0.000504
0.121212	0.000685
0.161616	0.000926
0.202020	0.001242
0.242424	0.001655
0.282828	0.002192
0.323232	0.002883
0.363636	0.003768
0.404040	0.004893
0.444444	0.006312
0.484848	0.008090
0.525253	0.010301
0.565657	0.013031
0.606061	0.016377
0.646465	0.020449
0.686869	0.025366
0.727273	0.031261
0.767677	0.038275
0.808081	0.046557
0.848485	0.056264
0.888889	0.067552
0.929293	0.080576
0.969697	0.095486
1.010101	0.112418
1.050505	0.131492
1.090909	0.152801
1.131313	0.176407
1.171717	0.202335
1.212121	0.230562
1.252525	0.261018
1.292929	0.293574
1.333333	0.328041
1.373737	0.364169
1.414141	0.401644
1.454545	0.440093
1.494949	0.479084
1.535354	0.518135
1.575758	0.556721
1.616162	0.594288
1.656566	0.630261
1.696970	0.664060
1.737374	0.695119
1.777778	0.722894
1.818182	0.746886
1.858586	0.766651
1.898990	0.781818
1.939394	0.792095
1.979798	0.797285
2.020202	0.797285
2.060606	0.792095
2.101010	0.781818
2.141414	0.766651
2.181818	0.746886
2.222222	0.722894
2.262626	0.695119
2.303030	0.664060
2.343434	0.630261
2.383838	0.594288
2.424242	0.556721
2.464646	0.518135
2.505051	0.479084
2.545455	0.440093
2.585859	0.401644
2.626263	0.364169
2.666667	0.328041
2.707071	0.293574
2.747475	0.261018
2.787879	0.230562
2.828283	0.202335
2.868687	0.176407
2.909091	0.152801
2.949495	0.131492
2.989899	0.112418
3.030303	0.095486
3.070707	0.080576
3.111111	0.067552
3.151515	0.056264
3.191919	0.046557
3.232323	0.038275
3.272727	0.031261
3.313131	0.025366
3.353535	0.020449
3.393939	0.016377
3.434343	0.013031
3.474747	0.010301
3.515152	0.008090
3.555556	0.006312
3.595960	0.004893
3.636364	0.003768
3.676768	0.002883
3.717172	0.002192
3.757576	0.001655
3.797980	0.001242
3.838384	0.000926
3.878788	0.000685
3.919192	0.000504
3.959596	0.000369
4.000000	0.000268
