# Value,	Probability
0.060606	0.008455
0.181818	0.010420
0.303030	0.012758
0.424242	0.015519
0.545455	0.018755
0.666667	0.022517
0.787879	0.026859
0.909091	0.031829
1.030303	0.037473
1.151515	0.043831
1.272727	0.050934
1.393939	0.058802
1.515152	0.067445
1.636364	0.076854
1.757576	0.087006
1.878788	0.097858
2.000000	0.109347
2.121212	0.121390
2.242424	0.133881
2.363636	0.146698
2.484848	0.159695
2.606061	0.172712
2.727273	0.185574
2.848485	0.198096
2.969697	0.210087
3.090909	0.221353
3.212121	0.231706
3.333333	0.240965
3.454545	0.248962
3.575758	0.255550
3.696970	0.260606
3.818182	0.264032
3.939394	0.265762
4.060606	0.265762
4.181818	0.264032
4.303030	0.260606
4.424242	0.255550
4.545455	0.248962
4.666667	0.240965
4.787879	0.231706
4.909091	0.221353
5.030303	0.210087
5.151515	0.198096
5.272727	0.185574
5.393939	0.172712
5.515152	0.159695
5.636364	0.146698
5.757576	0.133881
5.878788	0.121390
6.000000	0.109347
6.121212	0.097858
6.242424	0.087006
6.363636	0.076854
6.484848	0.067445
6.606061	0.058802
6.727273	0.050934
6.848485	0.043831
6.969697	0.037473
7.090909	0.031829
7.212121	0.026859
7.333333	0.022517
7.454545	0.018755
7.575758	0.015519
7.696970	0.012758
7.818182	0.010420
7.939394	0.008455
8.060606	0.006816
8.181818	0.005459
8.303030	0.004344
8.424242	0.003434
8.545455	0.002697
8.666667	0.002104
8.787879	0.001631
8.909091	0.001256
9.030303	0.000961
9.151515	0.000731
9.272727	0.000552
9.393939	0.000414
9.515152	0.000309
9.636364	0.000228
9.757576	0.000168
9.878788	0.000123
10.000000	0.000089
