# Value,	Probability
7.065000	0.000004
7.070000	0.000006
7.075000	0.000008
7.080000	0.000010
7.085000	0.000012
7.090000	0.000013
7.095000	0.000015
7.100000	0.000016
7.105000	0.000016
7.110000	0.000016
7.115000	0.000016
7.120000	0.000015
7.125000	0.000015
7.130000	0.000015
7.135000	0.000015
7.140000	0.000017
7.145000	0.000019
7.150000	0.000022
7.155000	0.000025
7.160000	0.000027
7.165000	0.000028
7.170000	0.000028
7.175000	0.000028
7.180000	0.000029
7.185000	0.000030
7.190000	0.000032
7.195000	0.000035
7.200000	0.000038
7.205000	0.000043
7.210000	0.000047
7.215000	0.000051
7.220000	0.000053
7.225000	0.000054
7.230000	0.000054
7.235000	0.000052
7.240000	0.000047
7.245000	0.000041
7.250000	0.000036
7.255000	0.000031
7.260000	0.000029
7.265000	0.000031
7.270000	0.000034
7.275000	0.000040
7.280000	0.000046
7.285000	0.000051
7.290000	0.000055
7.295000	0.000057
7.300000	0.000057
7.305000	0.000058
7.310000	0.000059
7.315000	0.000064
7.320000	0.000070
7.325000	0.000077
7.330000	0.000084
7.335000	0.000093
7.340000	0.000100
7.345000	0.000105
7.350000	0.000110
7.355000	0.000113
7.360000	0.000113
7.365000	0.000114
7.370000	0.000115
7.375000	0.000116
7.380000	0.000120
7.385000	0.000128
7.390000	0.000138
7.395000	0.000147
7.400000	0.000160
7.405000	0.000169
7.410000	0.000174
7.415000	0.000174
7.420000	0.000173
7.425000	0.000170
7.430000	0.000166
7.435000	0.000164
7.440000	0.000166
7.445000	0.000168
7.450000	0.000172
7.455000	0.000179
7.460000	0.000185
7.465000	0.000187
7.470000	0.000189
7.475000	0.000188
7.480000	0.000186
7.485000	0.000187
7.490000	0.000194
7.495000	0.000205
7.500000	0.000218
7.505000	0.000235
7.510000	0.000254
7.515000	0.000271
7.520000	0.000285
7.525000	0.000298
7.530000	0.000307
7.535000	0.000318
7.540000	0.000330
7.545000	0.000341
7.550000	0.000353
7.555000	0.000361
7.560000	0.000369
7.565000	0.000371
7.570000	0.000371
7.575000	0.000369
7.580000	0.000371
7.585000	0.000373
7.590000	0.000374
7.595000	0.000375
7.600000	0.000381
7.605000	0.000387
7.610000	0.000397
7.615000	0.000407
7.620000	0.000422
7.625000	0.000442
7.630000	0.000468
7.635000	0.000488
7.640000	0.000515
7.645000	0.000534
7.650000	0.000555
7.655000	0.000575
7.660000	0.000591
7.665000	0.000603
7.670000	0.000616
7.675000	0.000623
7.680000	0.000628
7.685000	0.000633
7.690000	0.000643
7.695000	0.000661
7.700000	0.000690
7.705000	0.000719
7.710000	0.000754
7.715000	0.000783
7.720000	0.000805
7.725000	0.000818
7.730000	0.000816
7.735000	0.000809
7.740000	0.000817
7.745000	0.000830
7.750000	0.000859
7.755000	0.000903
7.760000	0.000959
7.765000	0.001031
7.770000	0.001096
7.775000	0.001159
7.780000	0.001218
7.785000	0.001267
7.790000	0.001309
7.795000	0.001344
7.800000	0.001368
7.805000	0.001378
7.810000	0.001386
7.815000	0.001394
7.820000	0.001404
7.825000	0.001425
7.830000	0.001453
7.835000	0.001503
7.840000	0.001553
7.845000	0.001607
7.850000	0.001665
7.855000	0.001713
7.860000	0.001748
7.865000	0.001779
7.870000	0.001800
7.875000	0.001822
7.880000	0.001848
7.885000	0.001873
7.890000	0.001892
7.895000	0.001931
7.900000	0.001977
7.905000	0.002033
7.910000	0.002098
7.915000	0.002176
7.920000	0.002266
7.925000	0.002362
7.930000	0.002459
7.935000	0.002562
7.940000	0.002659
7.945000	0.002752
7.950000	0.002849
7.955000	0.002942
7.960000	0.003007
7.965000	0.003055
7.970000	0.003093
7.975000	0.003104
7.980000	0.003112
7.985000	0.003110
7.990000	0.003131
7.995000	0.003177
8.000000	0.003256
8.005000	0.003369
8.010000	0.003496
8.015000	0.003623
8.020000	0.003753
8.025000	0.003870
8.030000	0.003959
8.035000	0.004042
8.040000	0.004120
8.045000	0.004199
8.050000	0.004296
8.055000	0.004385
8.060000	0.004488
8.065000	0.004585
8.070000	0.004669
8.075000	0.004782
8.080000	0.004864
8.085000	0.004926
8.090000	0.005001
8.095000	0.005078
8.100000	0.005156
8.105000	0.005249
8.110000	0.005364
8.115000	0.005490
8.120000	0.005637
8.125000	0.005784
8.130000	0.005964
8.135000	0.006160
8.140000	0.006347
8.145000	0.006558
8.150000	0.006770
8.155000	0.006981
8.160000	0.007205
8.165000	0.007421
8.170000	0.007647
8.175000	0.007876
8.180000	0.008103
8.185000	0.008328
8.190000	0.008558
8.195000	0.008755
8.200000	0.008944
8.205000	0.009133
8.210000	0.009272
8.215000	0.009399
8.220000	0.009510
8.225000	0.009621
8.230000	0.009735
8.235000	0.009861
8.240000	0.009994
8.245000	0.010204
8.250000	0.010420
8.255000	0.010684
8.260000	0.010976
8.265000	0.011279
8.270000	0.011571
8.275000	0.011866
8.280000	0.012111
8.285000	0.012326
8.290000	0.012499
8.295000	0.012680
8.300000	0.012877
8.305000	0.013100
8.310000	0.013316
8.315000	0.013596
8.320000	0.013895
8.325000	0.014203
8.330000	0.014495
8.335000	0.014774
8.340000	0.015051
8.345000	0.015380
8.350000	0.015705
8.355000	0.016089
8.360000	0.016472
8.365000	0.016878
8.370000	0.017308
8.375000	0.017711
8.380000	0.018098
8.385000	0.018466
8.390000	0.018828
8.395000	0.019201
8.400000	0.019586
8.405000	0.019966
8.410000	0.020335
8.415000	0.020691
8.420000	0.021019
8.425000	0.021350
8.430000	0.021631
8.435000	0.021933
8.440000	0.022280
8.445000	0.022675
8.450000	0.023174
8.455000	0.023764
8.460000	0.024477
8.465000	0.025230
8.470000	0.025978
8.475000	0.026683
8.480000	0.027313
8.485000	0.027808
8.490000	0.028166
8.495000	0.028492
8.500000	0.028799
8.505000	0.029125
8.510000	0.029474
8.515000	0.029906
8.520000	0.030402
8.525000	0.030855
8.530000	0.031301
8.535000	0.031774
8.540000	0.032219
8.545000	0.032695
8.550000	0.033182
8.555000	0.033764
8.560000	0.034318
8.565000	0.034906
8.570000	0.035526
8.575000	0.036165
8.580000	0.036753
8.585000	0.037356
8.590000	0.037992
8.595000	0.038626
8.600000	0.039194
8.605000	0.039744
8.610000	0.040244
8.615000	0.040742
8.620000	0.041199
8.625000	0.041666
8.630000	0.042191
8.635000	0.042818
8.640000	0.043547
8.645000	0.044402
8.650000	0.045257
8.655000	0.046126
8.660000	0.047046
8.665000	0.047967
8.670000	0.048813
8.675000	0.049585
8.680000	0.050330
8.685000	0.051080
8.690000	0.051853
8.695000	0.052534
8.700000	0.053210
8.705000	0.053920
8.710000	0.054665
8.715000	0.055557
8.720000	0.056475
8.725000	0.057481
8.730000	0.058561
8.735000	0.059746
8.740000	0.060921
8.745000	0.062025
8.750000	0.063085
8.755000	0.064147
8.760000	0.065144
8.765000	0.066086
8.770000	0.067005
8.775000	0.067836
8.780000	0.068623
8.785000	0.069414
8.790000	0.070097
8.795000	0.070880
8.800000	0.071778
8.805000	0.072768
8.810000	0.073936
8.815000	0.075174
8.820000	0.076480
8.825000	0.077781
8.830000	0.079022
8.835000	0.080145
8.840000	0.081220
8.845000	0.082176
8.850000	0.083169
8.855000	0.084241
8.860000	0.085329
8.865000	0.086439
8.870000	0.087655
8.875000	0.088821
8.880000	0.089987
8.885000	0.091050
8.890000	0.092088
8.895000	0.093066
8.900000	0.094164
8.905000	0.095232
8.910000	0.096423
8.915000	0.097706
8.920000	0.099084
8.925000	0.100509
8.930000	0.101894
8.935000	0.103250
8.940000	0.104606
8.945000	0.105992
8.950000	0.107409
8.955000	0.108844
8.960000	0.110288
8.965000	0.111704
8.970000	0.113153
8.975000	0.114520
8.980000	0.115768
8.985000	0.116994
8.990000	0.118260
8.995000	0.119674
9.000000	0.121122
9.005000	0.122730
9.010000	0.124378
9.015000	0.126153
9.020000	0.127868
9.025000	0.129467
9.030000	0.130961
9.035000	0.132353
9.040000	0.133604
9.045000	0.134843
9.050000	0.136062
9.055000	0.137204
9.060000	0.138445
9.065000	0.139836
9.070000	0.141362
9.075000	0.143037
9.080000	0.144787
9.085000	0.146664
9.090000	0.148638
9.095000	0.150643
9.100000	0.152589
9.105000	0.154528
9.110000	0.156364
9.115000	0.158154
9.120000	0.159977
9.125000	0.161884
9.130000	0.163885
9.135000	0.165838
9.140000	0.167892
9.145000	0.170075
9.150000	0.172222
9.155000	0.174348
9.160000	0.176398
9.165000	0.178304
9.170000	0.180034
9.175000	0.181798
9.180000	0.183532
9.185000	0.185236
9.190000	0.186822
9.195000	0.188440
9.200000	0.190246
9.205000	0.192103
9.210000	0.193984
9.215000	0.196009
9.220000	0.198062
9.225000	0.200268
9.230000	0.202370
9.235000	0.204505
9.240000	0.206664
9.245000	0.208740
9.250000	0.210649
9.255000	0.212568
9.260000	0.214457
9.265000	0.216247
9.270000	0.217969
9.275000	0.219715
9.280000	0.221542
9.285000	0.223425
9.290000	0.225480
9.295000	0.227826
9.300000	0.230124
9.305000	0.232305
9.310000	0.234612
9.315000	0.236846
9.320000	0.238974
9.325000	0.241227
9.330000	0.243601
9.335000	0.246158
9.340000	0.248718
9.345000	0.251120
9.350000	0.253424
9.355000	0.255323
9.360000	0.257106
9.365000	0.258735
9.370000	0.260246
9.375000	0.261888
9.380000	0.263954
9.385000	0.266387
