# Value,	Probability
8.070000	0.000058
8.075000	0.000073
8.080000	0.000088
8.085000	0.000102
8.090000	0.000116
8.095000	0.000127
8.100000	0.000138
8.105000	0.000147
8.110000	0.000156
8.115000	0.000169
8.120000	0.000183
8.125000	0.000203
8.130000	0.000222
8.135000	0.000241
8.140000	0.000264
8.145000	0.000284
8.150000	0.000297
8.155000	0.000300
8.160000	0.000300
8.165000	0.000298
8.170000	0.000299
8.175000	0.000305
8.180000	0.000313
8.185000	0.000326
8.190000	0.000347
8.195000	0.000364
8.200000	0.000376
8.205000	0.000381
8.210000	0.000381
8.215000	0.000382
8.220000	0.000387
8.225000	0.000401
8.230000	0.000422
8.235000	0.000456
8.240000	0.000494
8.245000	0.000545
8.250000	0.000586
8.255000	0.000619
8.260000	0.000650
8.265000	0.000669
8.270000	0.000680
8.275000	0.000696
8.280000	0.000706
8.285000	0.000719
8.290000	0.000732
8.295000	0.000762
8.300000	0.000792
8.305000	0.000827
8.310000	0.000846
8.315000	0.000879
8.320000	0.000915
8.325000	0.000946
8.330000	0.000982
8.335000	0.001019
8.340000	0.001055
8.345000	0.001107
8.350000	0.001161
8.355000	0.001217
8.360000	0.001284
8.365000	0.001365
8.370000	0.001466
8.375000	0.001590
8.380000	0.001726
8.385000	0.001877
8.390000	0.002036
8.395000	0.002188
8.400000	0.002337
8.405000	0.002473
8.410000	0.002587
8.415000	0.002672
8.420000	0.002760
8.425000	0.002810
8.430000	0.002857
8.435000	0.002914
8.440000	0.002987
8.445000	0.003087
8.450000	0.003216
8.455000	0.003373
8.460000	0.003582
8.465000	0.003786
8.470000	0.004009
8.475000	0.004202
8.480000	0.004361
8.485000	0.004457
8.490000	0.004526
8.495000	0.004547
8.500000	0.004507
8.505000	0.004441
8.510000	0.004381
8.515000	0.004368
8.520000	0.004416
8.525000	0.004504
8.530000	0.004654
8.535000	0.004844
8.540000	0.005069
8.545000	0.005329
8.550000	0.005534
8.555000	0.005739
8.560000	0.005921
8.565000	0.006110
8.570000	0.006318
8.575000	0.006510
8.580000	0.006702
8.585000	0.006943
8.590000	0.007191
8.595000	0.007453
8.600000	0.007698
8.605000	0.007900
8.610000	0.008072
8.615000	0.008198
8.620000	0.008267
8.625000	0.008292
8.630000	0.008320
8.635000	0.008363
8.640000	0.008475
8.645000	0.008620
8.650000	0.008806
8.655000	0.008989
8.660000	0.009188
8.665000	0.009385
8.670000	0.009595
8.675000	0.009788
8.680000	0.010035
8.685000	0.010320
8.690000	0.010653
8.695000	0.010989
8.700000	0.011318
8.705000	0.011627
8.710000	0.011968
8.715000	0.012270
8.720000	0.012574
8.725000	0.012842
8.730000	0.013135
8.735000	0.013432
8.740000	0.013731
8.745000	0.014019
8.750000	0.014332
8.755000	0.014727
8.760000	0.015161
8.765000	0.015676
8.770000	0.016231
8.775000	0.016704
8.780000	0.017177
8.785000	0.017615
8.790000	0.017974
8.795000	0.018293
8.800000	0.018570
8.805000	0.018851
8.810000	0.019171
8.815000	0.019423
8.820000	0.019736
8.825000	0.020038
8.830000	0.020361
8.835000	0.020723
8.840000	0.021150
8.845000	0.021585
8.850000	0.022064
8.855000	0.022554
8.860000	0.023032
8.865000	0.023529
8.870000	0.023982
8.875000	0.024408
8.880000	0.024904
8.885000	0.025406
8.890000	0.025940
8.895000	0.026516
8.900000	0.027162
8.905000	0.027801
8.910000	0.028429
8.915000	0.029009
8.920000	0.029549
8.925000	0.029995
8.930000	0.030393
8.935000	0.030801
8.940000	0.031250
8.945000	0.031745
8.950000	0.032293
8.955000	0.032926
8.960000	0.033554
8.965000	0.034192
8.970000	0.034872
8.975000	0.035493
8.980000	0.036154
8.985000	0.036853
8.990000	0.037595
8.995000	0.038354
9.000000	0.039161
9.005000	0.039997
9.010000	0.040887
9.015000	0.041823
9.020000	0.042787
9.025000	0.043729
9.030000	0.044621
9.035000	0.045466
9.040000	0.046296
9.045000	0.046944
9.050000	0.047520
9.055000	0.048109
9.060000	0.048807
9.065000	0.049566
9.070000	0.050493
9.075000	0.051469
9.080000	0.052455
9.085000	0.053404
9.090000	0.054292
9.095000	0.055178
9.100000	0.055938
9.105000	0.056736
9.110000	0.057733
9.115000	0.058945
9.120000	0.060374
9.125000	0.062057
9.130000	0.063883
9.135000	0.065622
9.140000	0.067349
9.145000	0.068856
9.150000	0.070070
9.155000	0.071081
9.160000	0.071776
9.165000	0.072397
9.170000	0.073038
9.175000	0.073821
9.180000	0.074882
9.185000	0.076171
9.190000	0.077591
9.195000	0.079313
9.200000	0.081126
9.205000	0.082815
9.210000	0.084514
9.215000	0.086175
9.220000	0.087778
9.225000	0.089484
9.230000	0.091099
9.235000	0.092665
9.240000	0.094227
9.245000	0.095636
9.250000	0.096823
9.255000	0.097800
9.260000	0.098624
9.265000	0.099436
9.270000	0.100271
9.275000	0.101253
9.280000	0.102338
9.285000	0.103703
9.290000	0.105258
9.295000	0.107043
9.300000	0.108867
9.305000	0.110656
9.310000	0.112567
9.315000	0.114494
9.320000	0.116392
9.325000	0.118402
9.330000	0.120537
9.335000	0.122789
9.340000	0.124946
9.345000	0.126978
9.350000	0.128725
9.355000	0.130051
9.360000	0.131131
9.365000	0.131975
9.370000	0.132935
9.375000	0.134109
9.380000	0.135778
9.385000	0.138005
9.390000	0.140628
9.395000	0.143430
9.400000	0.146059
9.405000	0.148473
9.410000	0.150657
9.415000	0.152554
9.420000	0.154420
9.425000	0.156159
9.430000	0.158059
9.435000	0.160045
9.440000	0.162242
9.445000	0.164453
9.450000	0.166663
9.455000	0.168805
9.460000	0.171038
9.465000	0.173556
9.470000	0.176036
9.475000	0.178438
9.480000	0.180869
9.485000	0.183061
9.490000	0.185143
9.495000	0.187197
9.500000	0.189038
9.505000	0.190905
9.510000	0.192853
9.515000	0.194813
9.520000	0.196813
9.525000	0.198800
9.530000	0.200516
9.535000	0.202242
9.540000	0.204015
9.545000	0.205748
9.550000	0.207521
9.555000	0.209436
9.560000	0.211318
9.565000	0.213392
9.570000	0.215395
9.575000	0.217554
9.580000	0.219813
9.585000	0.222324
9.590000	0.224943
9.595000	0.228016
9.600000	0.231285
