# Value,	Probability
3.500000	0.000000
3.526263	0.015542
3.552525	0.031083
3.578788	0.046625
3.605051	0.062166
3.631313	0.077708
3.657576	0.093250
3.683838	0.108791
3.710101	0.124333
3.736364	0.139874
3.762626	0.155416
3.788889	0.170958
3.815152	0.186499
3.841414	0.202041
3.867677	0.217582
3.893939	0.233124
3.920202	0.248666
3.946465	0.264207
3.972727	0.279749
3.998990	0.295290
4.025253	0.310832
4.051515	0.326374
4.077778	0.341915
4.104040	0.357457
4.130303	0.372998
4.156566	0.388540
4.182828	0.404082
4.209091	0.419623
4.235354	0.435165
4.261616	0.450706
4.287879	0.466248
4.314141	0.481790
4.340404	0.497331
4.366667	0.512873
4.392929	0.528414
4.419192	0.543956
4.445455	0.559498
4.471717	0.575039
4.497980	0.590581
4.524242	0.606122
4.550505	0.621664
4.576768	0.637206
4.603030	0.652747
4.629293	0.668289
4.655556	0.683830
4.681818	0.699372
4.708081	0.714914
4.734343	0.730455
4.760606	0.745997
4.786869	0.761538
4.813131	0.761538
4.839394	0.745997
4.865657	0.730455
4.891919	0.714914
4.918182	0.699372
4.944444	0.683830
4.970707	0.668289
4.996970	0.652747
5.023232	0.637206
5.049495	0.621664
5.075758	0.606122
5.102020	0.590581
5.128283	0.575039
5.154545	0.559498
5.180808	0.543956
5.207071	0.528414
5.233333	0.512873
5.259596	0.497331
5.285859	0.481790
5.312121	0.466248
5.338384	0.450706
5.364646	0.435165
5.390909	0.419623
5.417172	0.404082
5.443434	0.388540
5.469697	0.372998
5.495960	0.357457
5.522222	0.341915
5.548485	0.326374
5.574747	0.310832
5.601010	0.295290
5.627273	0.279749
5.653535	0.264207
5.679798	0.248666
5.706061	0.233124
5.732323	0.217582
5.758586	0.202041
5.784848	0.186499
5.811111	0.170958
5.837374	0.155416
5.863636	0.139874
5.889899	0.124333
5.916162	0.108791
5.942424	0.093250
5.968687	0.077708
5.994949	0.062166
6.021212	0.046625
6.047475	0.031083
6.073737	0.015542
6.100000	0.000000
