# Value,	Probability
3.000000	0.000000
3.026263	0.003752
3.052525	0.007504
3.078788	0.011257
3.105051	0.015009
3.131313	0.018761
3.157576	0.022513
3.183838	0.026265
3.210101	0.030018
3.236364	0.033770
3.262626	0.037522
3.288889	0.041274
3.315152	0.045027
3.341414	0.048779
3.367677	0.052531
3.393939	0.056283
3.420202	0.060035
3.446465	0.063788
3.472727	0.067540
3.498990	0.071293
3.525253	0.082517
3.551515	0.094040
3.577778	0.105563
3.604040	0.117086
3.630303	0.128609
3.656566	0.140132
3.682828	0.151655
3.709091	0.163179
3.735354	0.174701
3.761616	0.186225
3.787879	0.197748
3.814141	0.209271
3.840404	0.220794
3.866667	0.232317
3.892929	0.243840
3.919192	0.255364
3.945455	0.266886
3.971717	0.278410
3.997980	0.289933
4.024242	0.301456
4.050505	0.312979
4.076768	0.324502
4.103030	0.336025
4.129293	0.347548
4.155556	0.359071
4.181818	0.370595
4.208081	0.382118
4.234343	0.393641
4.260606	0.405164
4.286869	0.416687
4.313131	0.428211
4.339394	0.439734
4.365657	0.451257
4.391919	0.462780
4.418182	0.474303
4.444444	0.485826
4.470707	0.497349
4.496970	0.508872
4.523232	0.520395
4.549495	0.531918
4.575758	0.543442
4.602020	0.554965
4.628283	0.566488
4.654545	0.578011
4.680808	0.589534
4.707071	0.601057
4.733333	0.612580
4.759596	0.624103
4.785859	0.635626
4.812121	0.639677
4.838384	0.635958
4.864646	0.631939
4.890909	0.627921
4.917172	0.623902
4.943434	0.619883
4.969697	0.615864
4.995960	0.609537
5.022222	0.600419
5.048485	0.587645
5.074747	0.574871
5.101010	0.562098
5.127273	0.549323
5.153535	0.536550
5.179798	0.523776
5.206061	0.511002
5.232323	0.498228
5.258586	0.485454
5.284848	0.472681
5.311111	0.459906
5.337374	0.447132
5.363636	0.434358
5.389899	0.421585
5.416162	0.408811
5.442424	0.396037
5.468687	0.383263
5.494949	0.370490
5.521212	0.357715
5.547475	0.344942
5.573737	0.332168
5.600000	0.319394
5.626263	0.306620
5.652525	0.293846
5.678788	0.281073
5.705051	0.268299
5.731313	0.255524
5.757576	0.242751
5.783838	0.229977
5.810101	0.217203
5.836364	0.204429
5.862626	0.191655
5.888889	0.178882
5.915152	0.166108
5.941414	0.153334
5.967677	0.140560
5.993939	0.127786
6.020202	0.115012
6.046465	0.102238
6.072727	0.089465
6.098990	0.076690
6.125253	0.071389
6.151515	0.066386
6.177778	0.061382
6.204040	0.056380
6.230303	0.051377
6.256566	0.046374
6.282828	0.041371
6.309091	0.036368
6.335354	0.031365
6.361616	0.026362
6.387879	0.021359
6.414141	0.016356
6.440404	0.011353
6.466667	0.006350
6.492929	0.001347
6.519192	0.000000
