# Value,	Probability
6.200000	0.000191
6.256566	0.000263
6.313131	0.000360
6.369697	0.000490
6.426263	0.000661
6.482828	0.000887
6.539394	0.001182
6.595960	0.001565
6.652525	0.002059
6.709091	0.002692
6.765657	0.003495
6.822222	0.004509
6.878788	0.005779
6.935354	0.007358
6.991919	0.009308
7.048485	0.011698
7.105051	0.014606
7.161616	0.018118
7.218182	0.022329
7.274747	0.027339
7.331313	0.033255
7.387879	0.040189
7.444444	0.048251
7.501010	0.057554
7.557576	0.068204
7.614141	0.080299
7.670707	0.093923
7.727273	0.109143
7.783838	0.126005
7.840404	0.144525
7.896970	0.164687
7.953535	0.186442
8.010101	0.209696
8.066667	0.234315
8.123232	0.260121
8.179798	0.286889
8.236364	0.314352
8.292929	0.342203
8.349495	0.370096
8.406061	0.397658
8.462626	0.424491
8.519192	0.450186
8.575758	0.474329
8.632323	0.496513
8.688889	0.516353
8.745455	0.533490
8.802020	0.547608
8.858586	0.558441
8.915152	0.565782
8.971717	0.569489
9.028283	0.569489
9.084848	0.565782
9.141414	0.558441
9.197980	0.547608
9.254545	0.533490
9.311111	0.516353
9.367677	0.496513
9.424242	0.474329
9.480808	0.450186
9.537374	0.424491
9.593939	0.397658
9.650505	0.370096
9.707071	0.342203
9.763636	0.314352
9.820202	0.286889
9.876768	0.260121
9.933333	0.234315
9.989899	0.209696
10.046465	0.186442
10.103030	0.164687
10.159596	0.144525
10.216162	0.126005
10.272727	0.109143
10.329293	0.093923
10.385859	0.080299
10.442424	0.068204
10.498990	0.057554
10.555556	0.048251
10.612121	0.040189
10.668687	0.033255
10.725253	0.027339
10.781818	0.022329
10.838384	0.018118
10.894949	0.014606
10.951515	0.011698
11.008081	0.009308
11.064646	0.007358
11.121212	0.005779
11.177778	0.004509
11.234343	0.003495
11.290909	0.002692
11.347475	0.002059
11.404040	0.001565
11.460606	0.001182
11.517172	0.000887
11.573737	0.000661
11.630303	0.000490
11.686869	0.000360
11.743434	0.000263
11.800000	0.000191
