# Value,	Probability
14.000000	0.000000
14.025253	0.020204
14.050505	0.040408
14.075758	0.060612
14.101010	0.080816
14.126263	0.101020
14.151515	0.121224
14.176768	0.141429
14.202020	0.161633
14.227273	0.181837
14.252525	0.202041
14.277778	0.222245
14.303030	0.242449
14.328283	0.262653
14.353535	0.282857
14.378788	0.303061
14.404040	0.323265
14.429293	0.343469
14.454545	0.363673
14.479798	0.383878
14.505051	0.404082
14.530303	0.424286
14.555556	0.444490
14.580808	0.464694
14.606061	0.484898
14.631313	0.505102
14.656566	0.525306
14.681818	0.545510
14.707071	0.565714
14.732323	0.585918
14.757576	0.606122
14.782828	0.626327
14.808081	0.646531
14.833333	0.666735
14.858586	0.686939
14.883838	0.707143
14.909091	0.727347
14.934343	0.747551
14.959596	0.767755
14.984848	0.787959
15.010101	0.794694
15.035354	0.781224
15.060606	0.767755
15.085859	0.754286
15.111111	0.740816
15.136364	0.727347
15.161616	0.713878
15.186869	0.700408
15.212121	0.686939
15.237374	0.673469
15.262626	0.660000
15.287879	0.646531
15.313131	0.633061
15.338384	0.619592
15.363636	0.606122
15.388889	0.592653
15.414141	0.579184
15.439394	0.565714
15.464646	0.552245
15.489899	0.538776
15.515152	0.525306
15.540404	0.511837
15.565657	0.498367
15.590909	0.484898
15.616162	0.471429
15.641414	0.457959
15.666667	0.444490
15.691919	0.431020
15.717172	0.417551
15.742424	0.404082
15.767677	0.390612
15.792929	0.377143
15.818182	0.363673
15.843434	0.350204
15.868687	0.336735
15.893939	0.323265
15.919192	0.309796
15.944444	0.296327
15.969697	0.282857
15.994949	0.269388
16.020202	0.255918
16.045455	0.242449
16.070707	0.228980
16.095960	0.215510
16.121212	0.202041
16.146465	0.188571
16.171717	0.175102
16.196970	0.161633
16.222222	0.148163
16.247475	0.134694
16.272727	0.121224
16.297980	0.107755
16.323232	0.094286
16.348485	0.080816
16.373737	0.067347
16.398990	0.053878
16.424242	0.040408
16.449495	0.026939
16.474747	0.013469
16.500000	0.000000
