# Value,	Probability
0.700000	0.000669
0.716162	0.000922
0.732323	0.001261
0.748485	0.001714
0.764646	0.002314
0.780808	0.003105
0.796970	0.004138
0.813131	0.005479
0.829293	0.007208
0.845455	0.009421
0.861616	0.012233
0.877778	0.015781
0.893939	0.020226
0.910101	0.025753
0.926263	0.032578
0.942424	0.040943
0.958586	0.051121
0.974747	0.063414
0.990909	0.078151
1.007071	0.095687
1.023232	0.116393
1.039394	0.140660
1.055556	0.168879
1.071717	0.201440
1.087879	0.238715
1.104040	0.281046
1.120202	0.328730
1.136364	0.382002
1.152525	0.441018
1.168687	0.505837
1.184848	0.576406
1.201010	0.652546
1.217172	0.733935
1.233333	0.820103
1.249495	0.910423
1.265657	1.004111
1.281818	1.100233
1.297980	1.197710
1.314141	1.295337
1.330303	1.391803
1.346465	1.485720
1.362626	1.575652
1.378788	1.660151
1.394949	1.737797
1.411111	1.807235
1.427273	1.867214
1.443434	1.916628
1.459596	1.954545
1.475758	1.980238
1.491919	1.993211
1.508081	1.993211
1.524242	1.980238
1.540404	1.954545
1.556566	1.916628
1.572727	1.867214
1.588889	1.807235
1.605051	1.737797
1.621212	1.660151
1.637374	1.575652
1.653535	1.485720
1.669697	1.391803
1.685859	1.295337
1.702020	1.197710
1.718182	1.100233
1.734343	1.004111
1.750505	0.910423
1.766667	0.820103
1.782828	0.733935
1.798990	0.652546
1.815152	0.576406
1.831313	0.505837
1.847475	0.441018
1.863636	0.382002
1.879798	0.328730
1.895960	0.281046
1.912121	0.238715
1.928283	0.201440
1.944444	0.168879
1.960606	0.140660
1.976768	0.116393
1.992929	0.095687
2.009091	0.078151
2.025253	0.063414
2.041414	0.051121
2.057576	0.040943
2.073737	0.032578
2.089899	0.025753
2.106061	0.020226
2.122222	0.015781
2.138384	0.012233
2.154545	0.009421
2.170707	0.007208
2.186869	0.005479
2.203030	0.004138
2.219192	0.003105
2.235354	0.002314
2.251515	0.001714
2.267677	0.001261
2.283838	0.000922
2.300000	0.000669
