# Value,	Probability
3.000000	0.000000
3.040404	0.013469
3.080808	0.026939
3.121212	0.040408
3.161616	0.053878
3.202020	0.067347
3.242424	0.080816
3.282828	0.094286
3.323232	0.107755
3.363636	0.121224
3.404040	0.134694
3.444444	0.148163
3.484848	0.161633
3.525253	0.175102
3.565657	0.188571
3.606061	0.202041
3.646465	0.215510
3.686869	0.228980
3.727273	0.242449
3.767677	0.255918
3.808081	0.269388
3.848485	0.282857
3.888889	0.296327
3.929293	0.309796
3.969697	0.323265
4.010101	0.333367
4.050505	0.333367
4.090909	0.333367
4.131313	0.333367
4.171717	0.333367
4.212121	0.333367
4.252525	0.333367
4.292929	0.333367
4.333333	0.333367
4.373737	0.333367
4.414141	0.333367
4.454545	0.333367
4.494949	0.333367
4.535354	0.333367
4.575758	0.333367
4.616162	0.333367
4.656566	0.333367
4.696970	0.333367
4.737374	0.333367
4.777778	0.333367
4.818182	0.333367
4.858586	0.333367
4.898990	0.333367
4.939394	0.333367
4.979798	0.333367
5.020202	0.333367
5.060606	0.333367
5.101010	0.333367
5.141414	0.333367
5.181818	0.333367
5.222222	0.333367
5.262626	0.333367
5.303030	0.333367
5.343434	0.333367
5.383838	0.333367
5.424242	0.333367
5.464646	0.333367
5.505051	0.333367
5.545455	0.333367
5.585859	0.333367
5.626263	0.333367
5.666667	0.333367
5.707071	0.333367
5.747475	0.333367
5.787879	0.333367
5.828283	0.333367
5.868687	0.333367
5.909091	0.333367
5.949495	0.333367
5.989899	0.333367
6.030303	0.323265
6.070707	0.309796
6.111111	0.296327
6.151515	0.282857
6.191919	0.269388
6.232323	0.255918
6.272727	0.242449
6.313131	0.228980
6.353535	0.215510
6.393939	0.202041
6.434343	0.188571
6.474747	0.175102
6.515152	0.161633
6.555556	0.148163
6.595960	0.134694
6.636364	0.121224
6.676768	0.107755
6.717172	0.094286
6.757576	0.080816
6.797980	0.067347
6.838384	0.053878
6.878788	0.040408
6.919192	0.026939
6.959596	0.013469
7.000000	0.000000
